1,1,1.60,2022-10-22
2,23,13.61,2022-10-23
4,1,0.61,2022-10-22
5,1,23.00,2022-10-04
6,6,23.00,2022-10-04
7,36,1.60,2022-10-04
8,38,2.21,2022-10-04
9,38,2.21,2022-10-04
10,38,2.21,2022-10-04
11,38,2.21,2022-10-04
12,38,1.60,2022-10-04
13,38,1.60,2022-10-04
14,1,1.60,2022-10-04
15,1,1.60,2022-10-04
16,1,2.21,2022-10-04
17,36,4.42,2022-10-04
18,6,2.82,2022-10-04
19,38,15.85,2022-10-04
20,38,18.67,2022-10-04
21,38,18.67,2022-10-04
22,38,18.67,2022-10-04
23,1,22.10,2022-10-04
24,1,0.00,2022-10-06
25,38,35.93,2022-10-06
26,1,0.00,2022-10-06
27,1,0.00,2022-10-06
28,1,0.00,2022-10-06
29,1,0.00,2022-10-06
30,1,0.00,2022-10-06
31,1,0.00,2022-10-06
32,1,0.52,2022-10-06
33,1,0.00,2022-10-06
34,1,0.00,2022-10-06
35,1,3.20,2022-10-22
36,1,0.00,2022-10-06
37,1,0.00,2022-10-06
38,1,0.00,2022-10-06
39,1,0.00,2022-10-06
40,1,0.00,2022-10-06
41,1,0.00,2022-10-06
42,1,0.00,2022-10-06
43,39,0.61,2022-10-22
44,39,6.67,2022-10-17
45,1,0.00,2022-10-19
46,1,17.10,2022-10-19
47,36,0.00,2022-10-19
48,36,0.00,2022-10-19
49,1,0.00,2022-10-19
50,1,4.50,2022-10-19
51,6,0.00,2022-10-22
52,23,0.00,2022-10-22
53,1,0.00,2022-10-22
54,23,0.61,2022-10-22
55,1,0.00,2022-10-22
56,1,0.00,2022-10-22
57,1,0.00,2022-10-22
58,1,0.00,2022-10-22
59,1,0.00,2022-10-22
60,1,0.00,2022-10-22
61,1,0.00,2022-10-22
62,1,0.00,2022-10-22
63,1,8.70,2022-10-22
64,40,2.51,2022-10-22
